sample_name     population
MVZ182152       popIntNW
MVZ182157       popIntNW
MVZ182161       popIntNW
MVZ182163       popIntNW
MVZ182164       popIntNW
MVZ180625       popIntNW
MVZ180604       popIntNW
MVZ180613       popIntNW
MVZ191139       popIntNW
MVZ179910       popIntNW
MVZ179916       popIntNW
MVZ179918       popIntNW
MVZ179919       popIntNW
MVZ179925       popIntNW
MVZ179503       popIntNW
MVZ177640       popIntNW
MVZ178957       popIntNW
MVZ184733       popIntNW
MVZ184724       popIntNW
MVZ191140       popIntNW
MVZ191141       popIntNW
MVZ191142       popIntNW
MVZ191143       popIntNW
MVZ191144       popIntNW
MVZ188014       popRocky
MVZ180079       popRocky
MVZ180075       popRocky
MVZ169368       popRocky
MVZ180080       popRocky
MVZ177678       popRocky
UWBM103325      popRocky
MVZ188034       popRocky
MVZ188052       popRocky
UWBM115511      popRocky
MVZ179382       popRocky
MSB26346        popRocky
MVZ187983       popRocky
MVZ188002       popRocky
